name_demojized,emoji,name,group,sub_group,codepoints,name_demojized
_grinning_face_,😀,grinning face,Smileys & Emotion,face-smiling,1F600,_grinning_face_
_grinning_face_with_big_eyes_,😃,grinning face with big eyes,Smileys & Emotion,face-smiling,1F603,_grinning_face_with_big_eyes_
_grinning_face_with_smiling_eyes_,😄,grinning face with smiling eyes,Smileys & Emotion,face-smiling,1F604,_grinning_face_with_smiling_eyes_
_beaming_face_with_smiling_eyes_,😁,beaming face with smiling eyes,Smileys & Emotion,face-smiling,1F601,_beaming_face_with_smiling_eyes_
_grinning_squinting_face_,😆,grinning squinting face,Smileys & Emotion,face-smiling,1F606,_grinning_squinting_face_
_grinning_face_with_sweat_,😅,grinning face with sweat,Smileys & Emotion,face-smiling,1F605,_grinning_face_with_sweat_
_rolling_on_the_floor_laughing_,🤣,rolling on the floor laughing,Smileys & Emotion,face-smiling,1F923,_rolling_on_the_floor_laughing_
_face_with_tears_of_joy_,😂,face with tears of joy,Smileys & Emotion,face-smiling,1F602,_face_with_tears_of_joy_
_slightly_smiling_face_,🙂,slightly smiling face,Smileys & Emotion,face-smiling,1F642,_slightly_smiling_face_
_upside-down_face_,🙃,upside-down face,Smileys & Emotion,face-smiling,1F643,_upside-down_face_
_winking_face_,😉,winking face,Smileys & Emotion,face-smiling,1F609,_winking_face_
_smiling_face_with_smiling_eyes_,😊,smiling face with smiling eyes,Smileys & Emotion,face-smiling,1F60A,_smiling_face_with_smiling_eyes_
_smiling_face_with_halo_,😇,smiling face with halo,Smileys & Emotion,face-smiling,1F607,_smiling_face_with_halo_
_smiling_face_with_hearts_,🥰,smiling face with hearts,Smileys & Emotion,face-affection,1F970,_smiling_face_with_hearts_
_smiling_face_with_heart-eyes_,😍,smiling face with heart-eyes,Smileys & Emotion,face-affection,1F60D,_smiling_face_with_heart-eyes_
_star-struck_,🤩,star-struck,Smileys & Emotion,face-affection,1F929,_star-struck_
_face_blowing_a_kiss_,😘,face blowing a kiss,Smileys & Emotion,face-affection,1F618,_face_blowing_a_kiss_
_kissing_face_,😗,kissing face,Smileys & Emotion,face-affection,1F617,_kissing_face_
_smiling_face_,☺️,smiling face,Smileys & Emotion,face-affection,263A FE0F,_smiling_face_
_smiling_face_,☺,smiling face,Smileys & Emotion,face-affection,263A,_smiling_face_
_kissing_face_with_closed_eyes_,😚,kissing face with closed eyes,Smileys & Emotion,face-affection,1F61A,_kissing_face_with_closed_eyes_
_kissing_face_with_smiling_eyes_,😙,kissing face with smiling eyes,Smileys & Emotion,face-affection,1F619,_kissing_face_with_smiling_eyes_
_smiling_face_with_tear_,🥲,smiling face with tear,Smileys & Emotion,face-affection,1F972,_smiling_face_with_tear_
_face_savoring_food_,😋,face savoring food,Smileys & Emotion,face-tongue,1F60B,_face_savoring_food_
_face_with_tongue_,😛,face with tongue,Smileys & Emotion,face-tongue,1F61B,_face_with_tongue_
_winking_face_with_tongue_,😜,winking face with tongue,Smileys & Emotion,face-tongue,1F61C,_winking_face_with_tongue_
_zany_face_,🤪,zany face,Smileys & Emotion,face-tongue,1F92A,_zany_face_
_squinting_face_with_tongue_,😝,squinting face with tongue,Smileys & Emotion,face-tongue,1F61D,_squinting_face_with_tongue_
_money-mouth_face_,🤑,money-mouth face,Smileys & Emotion,face-tongue,1F911,_money-mouth_face_
_smiling_face_with_open_hands_,🤗,hugging face,Smileys & Emotion,face-hand,1F917,_smiling_face_with_open_hands_
_face_with_hand_over_mouth_,🤭,face with hand over mouth,Smileys & Emotion,face-hand,1F92D,_face_with_hand_over_mouth_
_shushing_face_,🤫,shushing face,Smileys & Emotion,face-hand,1F92B,_shushing_face_
_thinking_face_,🤔,thinking face,Smileys & Emotion,face-hand,1F914,_thinking_face_
_zipper-mouth_face_,🤐,zipper-mouth face,Smileys & Emotion,face-neutral-skeptical,1F910,_zipper-mouth_face_
_face_with_raised_eyebrow_,🤨,face with raised eyebrow,Smileys & Emotion,face-neutral-skeptical,1F928,_face_with_raised_eyebrow_
_neutral_face_,😐,neutral face,Smileys & Emotion,face-neutral-skeptical,1F610,_neutral_face_
_expressionless_face_,😑,expressionless face,Smileys & Emotion,face-neutral-skeptical,1F611,_expressionless_face_
_face_without_mouth_,😶,face without mouth,Smileys & Emotion,face-neutral-skeptical,1F636,_face_without_mouth_
_face_in_clouds_,😶‍🌫️,face in clouds,Smileys & Emotion,face-neutral-skeptical,1F636 200D 1F32B FE0F,_face_in_clouds_
_face_in_clouds_,😶‍🌫,face in clouds,Smileys & Emotion,face-neutral-skeptical,1F636 200D 1F32B,_face_in_clouds_
_smirking_face_,😏,smirking face,Smileys & Emotion,face-neutral-skeptical,1F60F,_smirking_face_
_unamused_face_,😒,unamused face,Smileys & Emotion,face-neutral-skeptical,1F612,_unamused_face_
_face_with_rolling_eyes_,🙄,face with rolling eyes,Smileys & Emotion,face-neutral-skeptical,1F644,_face_with_rolling_eyes_
_grimacing_face_,😬,grimacing face,Smileys & Emotion,face-neutral-skeptical,1F62C,_grimacing_face_
_face_exhaling_,😮‍💨,face exhaling,Smileys & Emotion,face-neutral-skeptical,1F62E 200D 1F4A8,_face_exhaling_
_lying_face_,🤥,lying face,Smileys & Emotion,face-neutral-skeptical,1F925,_lying_face_
_relieved_face_,😌,relieved face,Smileys & Emotion,face-sleepy,1F60C,_relieved_face_
_pensive_face_,😔,pensive face,Smileys & Emotion,face-sleepy,1F614,_pensive_face_
_sleepy_face_,😪,sleepy face,Smileys & Emotion,face-sleepy,1F62A,_sleepy_face_
_drooling_face_,🤤,drooling face,Smileys & Emotion,face-sleepy,1F924,_drooling_face_
_sleeping_face_,😴,sleeping face,Smileys & Emotion,face-sleepy,1F634,_sleeping_face_
_face_with_medical_mask_,😷,face with medical mask,Smileys & Emotion,face-unwell,1F637,_face_with_medical_mask_
_face_with_thermometer_,🤒,face with thermometer,Smileys & Emotion,face-unwell,1F912,_face_with_thermometer_
_face_with_head-bandage_,🤕,face with head-bandage,Smileys & Emotion,face-unwell,1F915,_face_with_head-bandage_
_nauseated_face_,🤢,nauseated face,Smileys & Emotion,face-unwell,1F922,_nauseated_face_
_face_vomiting_,🤮,face vomiting,Smileys & Emotion,face-unwell,1F92E,_face_vomiting_
_sneezing_face_,🤧,sneezing face,Smileys & Emotion,face-unwell,1F927,_sneezing_face_
_hot_face_,🥵,hot face,Smileys & Emotion,face-unwell,1F975,_hot_face_
_cold_face_,🥶,cold face,Smileys & Emotion,face-unwell,1F976,_cold_face_
_woozy_face_,🥴,woozy face,Smileys & Emotion,face-unwell,1F974,_woozy_face_
_face_with_crossed-out_eyes_,😵,knocked-out face,Smileys & Emotion,face-unwell,1F635,_face_with_crossed-out_eyes_
_face_with_spiral_eyes_,😵‍💫,face with spiral eyes,Smileys & Emotion,face-unwell,1F635 200D 1F4AB,_face_with_spiral_eyes_
_exploding_head_,🤯,exploding head,Smileys & Emotion,face-unwell,1F92F,_exploding_head_
_cowboy_hat_face_,🤠,cowboy hat face,Smileys & Emotion,face-hat,1F920,_cowboy_hat_face_
_partying_face_,🥳,partying face,Smileys & Emotion,face-hat,1F973,_partying_face_
_disguised_face_,🥸,disguised face,Smileys & Emotion,face-hat,1F978,_disguised_face_
_smiling_face_with_sunglasses_,😎,smiling face with sunglasses,Smileys & Emotion,face-glasses,1F60E,_smiling_face_with_sunglasses_
_nerd_face_,🤓,nerd face,Smileys & Emotion,face-glasses,1F913,_nerd_face_
_face_with_monocle_,🧐,face with monocle,Smileys & Emotion,face-glasses,1F9D0,_face_with_monocle_
_confused_face_,😕,confused face,Smileys & Emotion,face-concerned,1F615,_confused_face_
_worried_face_,😟,worried face,Smileys & Emotion,face-concerned,1F61F,_worried_face_
_slightly_frowning_face_,🙁,slightly frowning face,Smileys & Emotion,face-concerned,1F641,_slightly_frowning_face_
_frowning_face_,☹️,frowning face,Smileys & Emotion,face-concerned,2639 FE0F,_frowning_face_
_frowning_face_,☹,frowning face,Smileys & Emotion,face-concerned,2639,_frowning_face_
_face_with_open_mouth_,😮,face with open mouth,Smileys & Emotion,face-concerned,1F62E,_face_with_open_mouth_
_hushed_face_,😯,hushed face,Smileys & Emotion,face-concerned,1F62F,_hushed_face_
_astonished_face_,😲,astonished face,Smileys & Emotion,face-concerned,1F632,_astonished_face_
_flushed_face_,😳,flushed face,Smileys & Emotion,face-concerned,1F633,_flushed_face_
_pleading_face_,🥺,pleading face,Smileys & Emotion,face-concerned,1F97A,_pleading_face_
_frowning_face_with_open_mouth_,😦,frowning face with open mouth,Smileys & Emotion,face-concerned,1F626,_frowning_face_with_open_mouth_
_anguished_face_,😧,anguished face,Smileys & Emotion,face-concerned,1F627,_anguished_face_
_fearful_face_,😨,fearful face,Smileys & Emotion,face-concerned,1F628,_fearful_face_
_anxious_face_with_sweat_,😰,anxious face with sweat,Smileys & Emotion,face-concerned,1F630,_anxious_face_with_sweat_
_sad_but_relieved_face_,😥,sad but relieved face,Smileys & Emotion,face-concerned,1F625,_sad_but_relieved_face_
_crying_face_,😢,crying face,Smileys & Emotion,face-concerned,1F622,_crying_face_
_loudly_crying_face_,😭,loudly crying face,Smileys & Emotion,face-concerned,1F62D,_loudly_crying_face_
_face_screaming_in_fear_,😱,face screaming in fear,Smileys & Emotion,face-concerned,1F631,_face_screaming_in_fear_
_confounded_face_,😖,confounded face,Smileys & Emotion,face-concerned,1F616,_confounded_face_
_persevering_face_,😣,persevering face,Smileys & Emotion,face-concerned,1F623,_persevering_face_
_disappointed_face_,😞,disappointed face,Smileys & Emotion,face-concerned,1F61E,_disappointed_face_
_downcast_face_with_sweat_,😓,downcast face with sweat,Smileys & Emotion,face-concerned,1F613,_downcast_face_with_sweat_
_weary_face_,😩,weary face,Smileys & Emotion,face-concerned,1F629,_weary_face_
_tired_face_,😫,tired face,Smileys & Emotion,face-concerned,1F62B,_tired_face_
_yawning_face_,🥱,yawning face,Smileys & Emotion,face-concerned,1F971,_yawning_face_
_face_with_steam_from_nose_,😤,face with steam from nose,Smileys & Emotion,face-negative,1F624,_face_with_steam_from_nose_
_pouting_face_,😡,pouting face,Smileys & Emotion,face-negative,1F621,_pouting_face_
_angry_face_,😠,angry face,Smileys & Emotion,face-negative,1F620,_angry_face_
_face_with_symbols_on_mouth_,🤬,face with symbols on mouth,Smileys & Emotion,face-negative,1F92C,_face_with_symbols_on_mouth_
_smiling_face_with_horns_,😈,smiling face with horns,Smileys & Emotion,face-negative,1F608,_smiling_face_with_horns_
_angry_face_with_horns_,👿,angry face with horns,Smileys & Emotion,face-negative,1F47F,_angry_face_with_horns_
_skull_,💀,skull,Smileys & Emotion,face-negative,1F480,_skull_
_skull_and_crossbones_,☠️,skull and crossbones,Smileys & Emotion,face-negative,2620 FE0F,_skull_and_crossbones_
_skull_and_crossbones_,☠,skull and crossbones,Smileys & Emotion,face-negative,2620,_skull_and_crossbones_
_pile_of_poo_,💩,pile of poo,Smileys & Emotion,face-costume,1F4A9,_pile_of_poo_
_clown_face_,🤡,clown face,Smileys & Emotion,face-costume,1F921,_clown_face_
_ogre_,👹,ogre,Smileys & Emotion,face-costume,1F479,_ogre_
_goblin_,👺,goblin,Smileys & Emotion,face-costume,1F47A,_goblin_
_ghost_,👻,ghost,Smileys & Emotion,face-costume,1F47B,_ghost_
_alien_,👽,alien,Smileys & Emotion,face-costume,1F47D,_alien_
_alien_monster_,👾,alien monster,Smileys & Emotion,face-costume,1F47E,_alien_monster_
_robot_,🤖,robot,Smileys & Emotion,face-costume,1F916,_robot_
_grinning_cat_,😺,grinning cat,Smileys & Emotion,cat-face,1F63A,_grinning_cat_
_grinning_cat_with_smiling_eyes_,😸,grinning cat with smiling eyes,Smileys & Emotion,cat-face,1F638,_grinning_cat_with_smiling_eyes_
_cat_with_tears_of_joy_,😹,cat with tears of joy,Smileys & Emotion,cat-face,1F639,_cat_with_tears_of_joy_
_smiling_cat_with_heart-eyes_,😻,smiling cat with heart-eyes,Smileys & Emotion,cat-face,1F63B,_smiling_cat_with_heart-eyes_
_cat_with_wry_smile_,😼,cat with wry smile,Smileys & Emotion,cat-face,1F63C,_cat_with_wry_smile_
_kissing_cat_,😽,kissing cat,Smileys & Emotion,cat-face,1F63D,_kissing_cat_
_weary_cat_,🙀,weary cat,Smileys & Emotion,cat-face,1F640,_weary_cat_
_crying_cat_,😿,crying cat,Smileys & Emotion,cat-face,1F63F,_crying_cat_
_pouting_cat_,😾,pouting cat,Smileys & Emotion,cat-face,1F63E,_pouting_cat_
_see-no-evil_monkey_,🙈,see-no-evil monkey,Smileys & Emotion,monkey-face,1F648,_see-no-evil_monkey_
_hear-no-evil_monkey_,🙉,hear-no-evil monkey,Smileys & Emotion,monkey-face,1F649,_hear-no-evil_monkey_
_speak-no-evil_monkey_,🙊,speak-no-evil monkey,Smileys & Emotion,monkey-face,1F64A,_speak-no-evil_monkey_
_kiss_mark_,💋,kiss mark,Smileys & Emotion,emotion,1F48B,_kiss_mark_
_love_letter_,💌,love letter,Smileys & Emotion,emotion,1F48C,_love_letter_
_heart_with_arrow_,💘,heart with arrow,Smileys & Emotion,emotion,1F498,_heart_with_arrow_
_heart_with_ribbon_,💝,heart with ribbon,Smileys & Emotion,emotion,1F49D,_heart_with_ribbon_
_sparkling_heart_,💖,sparkling heart,Smileys & Emotion,emotion,1F496,_sparkling_heart_
_growing_heart_,💗,growing heart,Smileys & Emotion,emotion,1F497,_growing_heart_
_beating_heart_,💓,beating heart,Smileys & Emotion,emotion,1F493,_beating_heart_
_revolving_hearts_,💞,revolving hearts,Smileys & Emotion,emotion,1F49E,_revolving_hearts_
_two_hearts_,💕,two hearts,Smileys & Emotion,emotion,1F495,_two_hearts_
_heart_decoration_,💟,heart decoration,Smileys & Emotion,emotion,1F49F,_heart_decoration_
_heart_exclamation_,❣️,heart exclamation,Smileys & Emotion,emotion,2763 FE0F,_heart_exclamation_
_heart_exclamation_,❣,heart exclamation,Smileys & Emotion,emotion,2763,_heart_exclamation_
_broken_heart_,💔,broken heart,Smileys & Emotion,emotion,1F494,_broken_heart_
_heart_on_fire_,❤️‍🔥,heart on fire,Smileys & Emotion,emotion,2764 FE0F 200D 1F525,_heart_on_fire_
_heart_on_fire_,❤‍🔥,heart on fire,Smileys & Emotion,emotion,2764 200D 1F525,_heart_on_fire_
_mending_heart_,❤️‍🩹,mending heart,Smileys & Emotion,emotion,2764 FE0F 200D 1FA79,_mending_heart_
_mending_heart_,❤‍🩹,mending heart,Smileys & Emotion,emotion,2764 200D 1FA79,_mending_heart_
_red_heart_,❤️,red heart,Smileys & Emotion,emotion,2764 FE0F,_red_heart_
_red_heart_,❤,red heart,Smileys & Emotion,emotion,2764,_red_heart_
_orange_heart_,🧡,orange heart,Smileys & Emotion,emotion,1F9E1,_orange_heart_
_yellow_heart_,💛,yellow heart,Smileys & Emotion,emotion,1F49B,_yellow_heart_
_green_heart_,💚,green heart,Smileys & Emotion,emotion,1F49A,_green_heart_
_blue_heart_,💙,blue heart,Smileys & Emotion,emotion,1F499,_blue_heart_
_purple_heart_,💜,purple heart,Smileys & Emotion,emotion,1F49C,_purple_heart_
_brown_heart_,🤎,brown heart,Smileys & Emotion,emotion,1F90E,_brown_heart_
_black_heart_,🖤,black heart,Smileys & Emotion,emotion,1F5A4,_black_heart_
_white_heart_,🤍,white heart,Smileys & Emotion,emotion,1F90D,_white_heart_
_hundred_points_,💯,hundred points,Smileys & Emotion,emotion,1F4AF,_hundred_points_
_anger_symbol_,💢,anger symbol,Smileys & Emotion,emotion,1F4A2,_anger_symbol_
_collision_,💥,collision,Smileys & Emotion,emotion,1F4A5,_collision_
_dizzy_,💫,dizzy,Smileys & Emotion,emotion,1F4AB,_dizzy_
_sweat_droplets_,💦,sweat droplets,Smileys & Emotion,emotion,1F4A6,_sweat_droplets_
_dashing_away_,💨,dashing away,Smileys & Emotion,emotion,1F4A8,_dashing_away_
_hole_,🕳️,hole,Smileys & Emotion,emotion,1F573 FE0F,_hole_
_hole_,🕳,hole,Smileys & Emotion,emotion,1F573,_hole_
_bomb_,💣,bomb,Smileys & Emotion,emotion,1F4A3,_bomb_
_speech_balloon_,💬,speech balloon,Smileys & Emotion,emotion,1F4AC,_speech_balloon_
_eye_in_speech_bubble_,👁️‍🗨️,eye in speech bubble,Smileys & Emotion,emotion,1F441 FE0F 200D 1F5E8 FE0F,_eye_in_speech_bubble_
_eye_in_speech_bubble_,👁‍🗨️,eye in speech bubble,Smileys & Emotion,emotion,1F441 200D 1F5E8 FE0F,_eye_in_speech_bubble_
_eye_in_speech_bubble_,👁️‍🗨,eye in speech bubble,Smileys & Emotion,emotion,1F441 FE0F 200D 1F5E8,_eye_in_speech_bubble_
_eye_in_speech_bubble_,👁‍🗨,eye in speech bubble,Smileys & Emotion,emotion,1F441 200D 1F5E8,_eye_in_speech_bubble_
_left_speech_bubble_,🗨️,left speech bubble,Smileys & Emotion,emotion,1F5E8 FE0F,_left_speech_bubble_
_left_speech_bubble_,🗨,left speech bubble,Smileys & Emotion,emotion,1F5E8,_left_speech_bubble_
_right_anger_bubble_,🗯️,right anger bubble,Smileys & Emotion,emotion,1F5EF FE0F,_right_anger_bubble_
_right_anger_bubble_,🗯,right anger bubble,Smileys & Emotion,emotion,1F5EF,_right_anger_bubble_
_thought_balloon_,💭,thought balloon,Smileys & Emotion,emotion,1F4AD,_thought_balloon_
_zzz_,💤,zzz,Smileys & Emotion,emotion,1F4A4,_zzz_
_waving_hand_,👋,waving hand,People & Body,hand-fingers-open,1F44B,_waving_hand_
_waving_hand_light_skin_tone_,👋🏻,waving hand: light skin tone,People & Body,hand-fingers-open,1F44B 1F3FB,_waving_hand_light_skin_tone_
_waving_hand_medium-light_skin_tone_,👋🏼,waving hand: medium-light skin tone,People & Body,hand-fingers-open,1F44B 1F3FC,_waving_hand_medium-light_skin_tone_
_waving_hand_medium_skin_tone_,👋🏽,waving hand: medium skin tone,People & Body,hand-fingers-open,1F44B 1F3FD,_waving_hand_medium_skin_tone_
_waving_hand_medium-dark_skin_tone_,👋🏾,waving hand: medium-dark skin tone,People & Body,hand-fingers-open,1F44B 1F3FE,_waving_hand_medium-dark_skin_tone_
_waving_hand_dark_skin_tone_,👋🏿,waving hand: dark skin tone,People & Body,hand-fingers-open,1F44B 1F3FF,_waving_hand_dark_skin_tone_
_raised_back_of_hand_,🤚,raised back of hand,People & Body,hand-fingers-open,1F91A,_raised_back_of_hand_
_raised_back_of_hand_light_skin_tone_,🤚🏻,raised back of hand: light skin tone,People & Body,hand-fingers-open,1F91A 1F3FB,_raised_back_of_hand_light_skin_tone_
_raised_back_of_hand_medium-light_skin_tone_,🤚🏼,raised back of hand: medium-light skin tone,People & Body,hand-fingers-open,1F91A 1F3FC,_raised_back_of_hand_medium-light_skin_tone_
_raised_back_of_hand_medium_skin_tone_,🤚🏽,raised back of hand: medium skin tone,People & Body,hand-fingers-open,1F91A 1F3FD,_raised_back_of_hand_medium_skin_tone_
_raised_back_of_hand_medium-dark_skin_tone_,🤚🏾,raised back of hand: medium-dark skin tone,People & Body,hand-fingers-open,1F91A 1F3FE,_raised_back_of_hand_medium-dark_skin_tone_
_raised_back_of_hand_dark_skin_tone_,🤚🏿,raised back of hand: dark skin tone,People & Body,hand-fingers-open,1F91A 1F3FF,_raised_back_of_hand_dark_skin_tone_
_hand_with_fingers_splayed_,🖐️,hand with fingers splayed,People & Body,hand-fingers-open,1F590 FE0F,_hand_with_fingers_splayed_
_hand_with_fingers_splayed_,🖐,hand with fingers splayed,People & Body,hand-fingers-open,1F590,_hand_with_fingers_splayed_
_hand_with_fingers_splayed_light_skin_tone_,🖐🏻,hand with fingers splayed: light skin tone,People & Body,hand-fingers-open,1F590 1F3FB,_hand_with_fingers_splayed_light_skin_tone_
_hand_with_fingers_splayed_medium-light_skin_tone_,🖐🏼,hand with fingers splayed: medium-light skin tone,People & Body,hand-fingers-open,1F590 1F3FC,_hand_with_fingers_splayed_medium-light_skin_tone_
_hand_with_fingers_splayed_medium_skin_tone_,🖐🏽,hand with fingers splayed: medium skin tone,People & Body,hand-fingers-open,1F590 1F3FD,_hand_with_fingers_splayed_medium_skin_tone_
_hand_with_fingers_splayed_medium-dark_skin_tone_,🖐🏾,hand with fingers splayed: medium-dark skin tone,People & Body,hand-fingers-open,1F590 1F3FE,_hand_with_fingers_splayed_medium-dark_skin_tone_
_hand_with_fingers_splayed_dark_skin_tone_,🖐🏿,hand with fingers splayed: dark skin tone,People & Body,hand-fingers-open,1F590 1F3FF,_hand_with_fingers_splayed_dark_skin_tone_
_raised_hand_,✋,raised hand,People & Body,hand-fingers-open,270B,_raised_hand_
_raised_hand_light_skin_tone_,✋🏻,raised hand: light skin tone,People & Body,hand-fingers-open,270B 1F3FB,_raised_hand_light_skin_tone_
_raised_hand_medium-light_skin_tone_,✋🏼,raised hand: medium-light skin tone,People & Body,hand-fingers-open,270B 1F3FC,_raised_hand_medium-light_skin_tone_
_raised_hand_medium_skin_tone_,✋🏽,raised hand: medium skin tone,People & Body,hand-fingers-open,270B 1F3FD,_raised_hand_medium_skin_tone_
_raised_hand_medium-dark_skin_tone_,✋🏾,raised hand: medium-dark skin tone,People & Body,hand-fingers-open,270B 1F3FE,_raised_hand_medium-dark_skin_tone_
_raised_hand_dark_skin_tone_,✋🏿,raised hand: dark skin tone,People & Body,hand-fingers-open,270B 1F3FF,_raised_hand_dark_skin_tone_
_vulcan_salute_,🖖,vulcan salute,People & Body,hand-fingers-open,1F596,_vulcan_salute_
_vulcan_salute_light_skin_tone_,🖖🏻,vulcan salute: light skin tone,People & Body,hand-fingers-open,1F596 1F3FB,_vulcan_salute_light_skin_tone_
_vulcan_salute_medium-light_skin_tone_,🖖🏼,vulcan salute: medium-light skin tone,People & Body,hand-fingers-open,1F596 1F3FC,_vulcan_salute_medium-light_skin_tone_
_vulcan_salute_medium_skin_tone_,🖖🏽,vulcan salute: medium skin tone,People & Body,hand-fingers-open,1F596 1F3FD,_vulcan_salute_medium_skin_tone_
_vulcan_salute_medium-dark_skin_tone_,🖖🏾,vulcan salute: medium-dark skin tone,People & Body,hand-fingers-open,1F596 1F3FE,_vulcan_salute_medium-dark_skin_tone_
_vulcan_salute_dark_skin_tone_,🖖🏿,vulcan salute: dark skin tone,People & Body,hand-fingers-open,1F596 1F3FF,_vulcan_salute_dark_skin_tone_
_OK_hand_,👌,OK hand,People & Body,hand-fingers-partial,1F44C,_OK_hand_
_OK_hand_light_skin_tone_,👌🏻,OK hand: light skin tone,People & Body,hand-fingers-partial,1F44C 1F3FB,_OK_hand_light_skin_tone_
_OK_hand_medium-light_skin_tone_,👌🏼,OK hand: medium-light skin tone,People & Body,hand-fingers-partial,1F44C 1F3FC,_OK_hand_medium-light_skin_tone_
_OK_hand_medium_skin_tone_,👌🏽,OK hand: medium skin tone,People & Body,hand-fingers-partial,1F44C 1F3FD,_OK_hand_medium_skin_tone_
_OK_hand_medium-dark_skin_tone_,👌🏾,OK hand: medium-dark skin tone,People & Body,hand-fingers-partial,1F44C 1F3FE,_OK_hand_medium-dark_skin_tone_
_OK_hand_dark_skin_tone_,👌🏿,OK hand: dark skin tone,People & Body,hand-fingers-partial,1F44C 1F3FF,_OK_hand_dark_skin_tone_
_pinched_fingers_,🤌,pinched fingers,People & Body,hand-fingers-partial,1F90C,_pinched_fingers_
_pinched_fingers_light_skin_tone_,🤌🏻,pinched fingers: light skin tone,People & Body,hand-fingers-partial,1F90C 1F3FB,_pinched_fingers_light_skin_tone_
_pinched_fingers_medium-light_skin_tone_,🤌🏼,pinched fingers: medium-light skin tone,People & Body,hand-fingers-partial,1F90C 1F3FC,_pinched_fingers_medium-light_skin_tone_
_pinched_fingers_medium_skin_tone_,🤌🏽,pinched fingers: medium skin tone,People & Body,hand-fingers-partial,1F90C 1F3FD,_pinched_fingers_medium_skin_tone_
_pinched_fingers_medium-dark_skin_tone_,🤌🏾,pinched fingers: medium-dark skin tone,People & Body,hand-fingers-partial,1F90C 1F3FE,_pinched_fingers_medium-dark_skin_tone_
_pinched_fingers_dark_skin_tone_,🤌🏿,pinched fingers: dark skin tone,People & Body,hand-fingers-partial,1F90C 1F3FF,_pinched_fingers_dark_skin_tone_
_pinching_hand_,🤏,pinching hand,People & Body,hand-fingers-partial,1F90F,_pinching_hand_
_pinching_hand_light_skin_tone_,🤏🏻,pinching hand: light skin tone,People & Body,hand-fingers-partial,1F90F 1F3FB,_pinching_hand_light_skin_tone_
_pinching_hand_medium-light_skin_tone_,🤏🏼,pinching hand: medium-light skin tone,People & Body,hand-fingers-partial,1F90F 1F3FC,_pinching_hand_medium-light_skin_tone_
_pinching_hand_medium_skin_tone_,🤏🏽,pinching hand: medium skin tone,People & Body,hand-fingers-partial,1F90F 1F3FD,_pinching_hand_medium_skin_tone_
_pinching_hand_medium-dark_skin_tone_,🤏🏾,pinching hand: medium-dark skin tone,People & Body,hand-fingers-partial,1F90F 1F3FE,_pinching_hand_medium-dark_skin_tone_
_pinching_hand_dark_skin_tone_,🤏🏿,pinching hand: dark skin tone,People & Body,hand-fingers-partial,1F90F 1F3FF,_pinching_hand_dark_skin_tone_
_victory_hand_,✌️,victory hand,People & Body,hand-fingers-partial,270C FE0F,_victory_hand_
_victory_hand_,✌,victory hand,People & Body,hand-fingers-partial,270C,_victory_hand_
_victory_hand_light_skin_tone_,✌🏻,victory hand: light skin tone,People & Body,hand-fingers-partial,270C 1F3FB,_victory_hand_light_skin_tone_
_victory_hand_medium-light_skin_tone_,✌🏼,victory hand: medium-light skin tone,People & Body,hand-fingers-partial,270C 1F3FC,_victory_hand_medium-light_skin_tone_
_victory_hand_medium_skin_tone_,✌🏽,victory hand: medium skin tone,People & Body,hand-fingers-partial,270C 1F3FD,_victory_hand_medium_skin_tone_
_victory_hand_medium-dark_skin_tone_,✌🏾,victory hand: medium-dark skin tone,People & Body,hand-fingers-partial,270C 1F3FE,_victory_hand_medium-dark_skin_tone_
_victory_hand_dark_skin_tone_,✌🏿,victory hand: dark skin tone,People & Body,hand-fingers-partial,270C 1F3FF,_victory_hand_dark_skin_tone_
_crossed_fingers_,🤞,crossed fingers,People & Body,hand-fingers-partial,1F91E,_crossed_fingers_
_crossed_fingers_light_skin_tone_,🤞🏻,crossed fingers: light skin tone,People & Body,hand-fingers-partial,1F91E 1F3FB,_crossed_fingers_light_skin_tone_
_crossed_fingers_medium-light_skin_tone_,🤞🏼,crossed fingers: medium-light skin tone,People & Body,hand-fingers-partial,1F91E 1F3FC,_crossed_fingers_medium-light_skin_tone_
_crossed_fingers_medium_skin_tone_,🤞🏽,crossed fingers: medium skin tone,People & Body,hand-fingers-partial,1F91E 1F3FD,_crossed_fingers_medium_skin_tone_
_crossed_fingers_medium-dark_skin_tone_,🤞🏾,crossed fingers: medium-dark skin tone,People & Body,hand-fingers-partial,1F91E 1F3FE,_crossed_fingers_medium-dark_skin_tone_
_crossed_fingers_dark_skin_tone_,🤞🏿,crossed fingers: dark skin tone,People & Body,hand-fingers-partial,1F91E 1F3FF,_crossed_fingers_dark_skin_tone_
_love-you_gesture_,🤟,love-you gesture,People & Body,hand-fingers-partial,1F91F,_love-you_gesture_
_love-you_gesture_light_skin_tone_,🤟🏻,love-you gesture: light skin tone,People & Body,hand-fingers-partial,1F91F 1F3FB,_love-you_gesture_light_skin_tone_
_love-you_gesture_medium-light_skin_tone_,🤟🏼,love-you gesture: medium-light skin tone,People & Body,hand-fingers-partial,1F91F 1F3FC,_love-you_gesture_medium-light_skin_tone_
_love-you_gesture_medium_skin_tone_,🤟🏽,love-you gesture: medium skin tone,People & Body,hand-fingers-partial,1F91F 1F3FD,_love-you_gesture_medium_skin_tone_
