idx,anger,happy,sad,fear,surprise,disgust,emoticon,cnt,emoji,name,group,sub_group
woman_and_man_holding_hands_light_skin_tone_dark_skin_tone,,,,,,,woman_and_man_holding_hands_light_skin_tone_dark_skin_tone,1,👩🏻‍🤝‍👨🏿,"woman and man holding hands: light skin tone, dark skin tone",People & Body,family
racing_car,0.04541810044902118,1.9983964197569317,0.09083620089804235,0.04541810044902118,0.4087629040411906,0.0,racing_car,388,🏎️,racing car,Travel & Places,transport-ground
man_light_skin_tone_bald,,,,,,,man_light_skin_tone_bald,4,👨🏻‍🦲,"man: light skin tone, bald",People & Body,person
eagle,0.09261318629781597,0.9261318629781597,0.37045274519126387,0.7409054903825277,0.09261318629781597,0.0,eagle,167,🦅,eagle,Animals & Nature,animal-bird
person_standing_medium_skin_tone,,,,,,,person_standing_medium_skin_tone,7,🧍🏽,person standing: medium skin tone,People & Body,person-activity
woman_mechanic_medium-dark_skin_tone,,,,,,,woman_mechanic_medium-dark_skin_tone,1,👩🏾‍🔧,woman mechanic: medium-dark skin tone,People & Body,person-role
blue_square,0.0,1.6532125137753437,0.0,0.0,0.0,0.0,blue_square,45,🟦,blue square,Symbols,geometric
backhand_index_pointing_left_medium_skin_tone,0.0,1.870615945513832,0.15588466212615268,0.31176932425230536,0.15588466212615268,0.0,backhand_index_pointing_left_medium_skin_tone,312,👈🏽,backhand index pointing left: medium skin tone,People & Body,hand-single-finger
Wales,,,,,,,Wales,74,🏴󠁧󠁢󠁷󠁬󠁳󠁿,flag: Wales,Flags,subdivision-flag
man_technologist_medium-dark_skin_tone,,,,,,,man_technologist_medium-dark_skin_tone,13,👨🏾‍💻,man technologist: medium-dark skin tone,People & Body,person-role
Japanese_prohibited_button,,,,,,,Japanese_prohibited_button,7,🈲,Japanese “prohibited” button,Symbols,alphanum
man_white_hair,,,,,,,man_white_hair,2,👨‍🦳,man: white hair,People & Body,person
baby_angel,0.0,0.9973751604005205,0.1813409382546401,0.8160342221458805,0.09067046912732005,0.09067046912732005,baby_angel,150,👼,baby angel,People & Body,person-fantasy
woman_detective_medium-light_skin_tone,,,,,,,woman_detective_medium-light_skin_tone,12,🕵🏼‍♀️,woman detective: medium-light skin tone,People & Body,person-role
spiral_notepad,,,,,,,spiral_notepad,17,🗒️,spiral notepad,Objects,office
