idx,anger,happy,sad,fear,surprise,disgust,emoticon,cnt,emoji,name,group,sub_group
woman_bowing_medium-light_skin_tone,,,,,,,woman_bowing_medium-light_skin_tone,4,🙇🏼‍♀️,woman bowing: medium-light skin tone,People & Body,person-gesture
shooting_star,0.2655163256457105,0.531032651291421,0.10620653025828418,0.10620653025828418,0.15930979538742626,0.13275816282285524,shooting_star,20,🌠,shooting star,Travel & Places,sky & weather
man_facepalming_medium-light_skin_tone,,,,,,,man_facepalming_medium-light_skin_tone,53,🤦🏼‍♂️,man facepalming: medium-light skin tone,People & Body,person-gesture
man_tipping_hand_light_skin_tone,0.05558223217026026,0.3890756251918218,0.11116446434052052,0.22232892868104104,0.0,0.0,man_tipping_hand_light_skin_tone,6,💁🏻‍♂️,man tipping hand: light skin tone,People & Body,person-gesture
woman_wearing_turban_light_skin_tone,,,,,,,woman_wearing_turban_light_skin_tone,1,👳🏻‍♀️,woman wearing turban: light skin tone,People & Body,person-role
straight_ruler,0.0752574989159953,0.3010299956639812,0.0,0.0,0.1505149978319906,0.0752574989159953,straight_ruler,4,📏,straight ruler,Objects,office
woman_elf,0.0,0.0,0.0,0.0,0.0,0.0,woman_elf,1,🧝‍♀️,woman elf,People & Body,person-fantasy
hollow_red_circle,0.05785514917545695,0.6942617901054834,0.0,0.0,0.17356544752637085,0.1157102983509139,hollow_red_circle,11,⭕,hollow red circle,Symbols,other-symbol
scarf,0.3010299956639812,0.0,0.0,0.0,0.0,0.0,scarf,2,🧣,scarf,Objects,clothing
four_leaf_clover,0.2582782034850724,1.1935583645901073,0.20349191789732976,0.37567738688737806,0.30915118295940486,0.125225795629126,four_leaf_clover,292,🍀,four leaf clover,Animals & Nature,plant-other
foggy,0.0,0.0,0.0,0.0,0.0,0.0,foggy,1,🌁,foggy,Travel & Places,place-other
person_medium-light_skin_tone_beard,,,,,,,person_medium-light_skin_tone_beard,1,🧔🏼,"person: medium-light skin tone, beard",People & Body,person
family_woman_girl_boy,0.10611153414322412,0.3537051138107471,0.2829640910485977,0.035370511381074714,0.0,0.0,family_woman_girl_boy,6,👩‍👧‍👦,"family: woman, girl, boy",People & Body,family
woman_surfing,0.0,0.0,0.0,0.0,0.0,0.47712125471966244,woman_surfing,3,🏄‍♀️,woman surfing,People & Body,person-sport
woman_shrugging_medium-light_skin_tone,,,,,,,woman_shrugging_medium-light_skin_tone,84,🤷🏼‍♀️,woman shrugging: medium-light skin tone,People & Body,person-gesture
flexed_biceps_medium_skin_tone,0.292894049835225,0.39052539978029993,0.0,0.32543783315025,0.162718916575125,0.032543783315025,flexed_biceps_medium_skin_tone,16,💪🏽,flexed biceps: medium skin tone,People & Body,body-parts
folded_hands_light_skin_tone,0.5109865193638518,1.2524657646460042,0.30976271102247815,0.3829350049647958,0.39634992552088744,0.16951581429970264,folded_hands_light_skin_tone,1052,🙏🏻,folded hands: light skin tone,People & Body,hands
woman_technologist,0.29843663106481705,0.5183373065862612,0.06282876443469833,0.1727791021954204,0.29843663106481705,0.04712157332602374,woman_technologist,25,👩‍💻,woman technologist,People & Body,person-role
elephant,0.05633986933428379,0.3943790853399865,0.05633986933428379,0.11267973866856758,0.0,0.22535947733713516,elephant,7,🐘,elephant,Animals & Nature,animal-mammal
girl_medium-light_skin_tone,,,,,,,girl_medium-light_skin_tone,6,👧🏼,girl: medium-light skin tone,People & Body,person
person_surfing,0.0,0.3950700024507932,0.0,0.06078000037704512,0.03039000018852256,0.2127300013196579,person_surfing,5,🏄,person surfing,People & Body,person-sport
flag_in_hole,0.05633986933428379,0.33803921600570275,0.16901960800285137,0.16901960800285137,0.05633986933428379,0.05633986933428379,flag_in_hole,7,⛳,flag in hole,Activities,sport
fairy,0.2684862123489562,0.28475810400646867,0.016271891657512496,0.11390324160258747,0.09763134994507498,0.12203918743134373,fairy,8,🧚,fairy,People & Body,person-fantasy
person_standing,0.0,0.0,0.0,0.0,0.0,0.0,person_standing,1,🧍,person standing,People & Body,person-activity
necktie,0.09282861269223638,0.37131445076894554,0.3249001444228274,0.0,0.3249001444228274,0.0,necktie,13,👔,necktie,Objects,clothing
church,0.16054933102078997,0.0,0.0,0.06020599913279624,0.06020599913279624,0.020068666377598746,church,2,⛪,church,Travel & Places,place-religious
