emoticon,cnt
_fox_,148
_backhand_index_pointing_right_dark_skin_tone_,147
_shallow_pan_of_food_,145
_pound_banknote_,145
_FREE_button_,145
_Peru_,145
_electric_plug_,144
_pushpin_,144
_call_me_hand_medium-dark_skin_tone_,144
_Puerto_Rico_,143
_graduation_cap_,143
_OK_hand_dark_skin_tone_,143
_person_tipping_hand_light_skin_tone_,143
_peace_symbol_,143
_palms_up_together_light_skin_tone_,142
_princess_,142
_sunrise_,141
_nail_polish_medium-light_skin_tone_,141
_wilted_flower_,140
_cyclone_,140
_horse_face_,140
_people_with_bunny_ears_,139
_desert_island_,138
_no_entry_,138
_tropical_fish_,137
_glass_of_milk_,136
_socks_,136
_left-facing_fist_,134
_backhand_index_pointing_left_dark_skin_tone_,133
_keycap_3_,133
_mango_,133
_Sweden_,132
_watermelon_,132
_raised_back_of_hand_light_skin_tone_,132
_woman_raising_hand_medium_skin_tone_,132
_boxing_glove_,131
_ribbon_,131
_horse_,129
_avocado_,129
_dragon_,129
_right-facing_fist_,129
_cow_face_,128
_Vietnam_,128
_tennis_,127
_person_gesturing_NO_,127
_bird_,127
_writing_hand_light_skin_tone_,125
_shooting_star_,125
_Jamaica_,125
_small_blue_diamond_,124
_fuel_pump_,123
_performing_arts_,122
_Morocco_,122
_disguised_face_,121
_tiger_,121
_woman_and_man_holding_hands_,120
_hammer_and_wrench_,120
_woman_tipping_hand_medium_skin_tone_,119
_BACK_arrow_,119
_t-shirt_,119
_ice_hockey_,118
_man_dancing_light_skin_tone_,117
_person_tipping_hand_medium-light_skin_tone_,116
_T-Rex_,116
_Sri_Lanka_,116
_backhand_index_pointing_up_medium-dark_skin_tone_,115
_envelope_,115
_meat_on_bone_,115
_night_with_stars_,114
_koala_,113
_love-you_gesture_medium-light_skin_tone_,113
_cucumber_,112
_spaghetti_,112
_ewe_,112
_woman_raising_hand_medium-light_skin_tone_,111
_person_walking_,111
_cloud_with_lightning_,111
_world_map_,110
_pinched_fingers_,110
_video_camera_,109
_microscope_,109
_pill_,109
_hammer_,108
_vulcan_salute_,108
_ice_skate_,108
_locked_,107
_woman_bowing_light_skin_tone_,107
_woman_health_worker_,107
_hole_,107
_keycap_0_,106
_toilet_,106
_plus_,105
_woman_standing_light_skin_tone_,105
_radio_button_,105
_ambulance_,105
_door_,105
_croissant_,105
_backhand_index_pointing_up_medium_skin_tone_,104
_raised_hand_medium_skin_tone_,103
_flexed_biceps_dark_skin_tone_,102
_Greece_,102
_motorcycle_,102
_England_,102
_minus_,102
_ear_of_corn_,102
_squid_,101
_trumpet_,101
_hamster_,101
_musical_keyboard_,101
_envelope_with_arrow_,100
_scissors_,100
_sheaf_of_rice_,99
_pinching_hand_,99
_SOON_arrow_,98
_stopwatch_,98
_fried_shrimp_,98
_flying_saucer_,98
_cricket_,98
_woman_gesturing_OK_,98
_chess_pawn_,98
_index_pointing_up_light_skin_tone_,97
_part_alternation_mark_,97
_person_with_veil_,97
_triangular_flag_,96
_woman_,95
_shaved_ice_,95
_Belgium_,95
_white_medium-small_square_,95
_linked_paperclips_,94
_pot_of_food_,94
_ringed_planet_,94
_bikini_,94
_helicopter_,94
_backhand_index_pointing_up_medium-light_skin_tone_,94
_cupcake_,94
_anger_symbol_,93
_ox_,93
_Ireland_,93
_chains_,93
_duck_,93
_leafy_green_,93
_locomotive_,92
_footprints_,92
_flashlight_,91
_person_tipping_hand_medium_skin_tone_,91
_blueberries_,91
_princess_medium-light_skin_tone_,91
_baby_chick_,91
_chipmunk_,91
_office_building_,90
_man_health_worker_,90
_love-you_gesture_medium_skin_tone_,90
_locked_with_key_,90
_dolphin_,90
_man_tipping_hand_light_skin_tone_,89
_crab_,89
_Taiwan_,89
_woman_gesturing_NO_light_skin_tone_,89
_palms_up_together_medium-light_skin_tone_,88
_paperclip_,88
_nail_polish_medium_skin_tone_,88
_optical_disk_,88
_women_with_bunny_ears_,88
_woman_gesturing_NO_medium_skin_tone_,87
_shark_,86
_raised_back_of_hand_medium-light_skin_tone_,86
_woman_technologist_,86
_bar_chart_,85
_spiral_calendar_,85
_white_question_mark_,84
_black_circle_,84
_woman_running_light_skin_tone_,84
_index_pointing_up_medium-light_skin_tone_,83
_baguette_bread_,83
_woman_walking_,83
_person_facepalming_light_skin_tone_,83
_inbox_tray_,83
_martial_arts_uniform_,83
_record_button_,82
_woman_shrugging_dark_skin_tone_,82
_tornado_,82
_Santa_Claus_medium_skin_tone_,81
_Kenya_,81
_man_tipping_hand_,81
_woman_gesturing_OK_light_skin_tone_,81
_man_gesturing_NO_medium_skin_tone_,80
_comet_,80
_nail_polish_medium-dark_skin_tone_,79
_violin_,79
_cityscape_,79
_family_,79
_white_large_square_,79
_monkey_face_,79
_sauropod_,78
_index_pointing_up_medium-dark_skin_tone_,78
_peanuts_,78
_green_circle_,78
_raised_back_of_hand_medium_skin_tone_,78
_United_Arab_Emirates_,77
