idx,anger,happy,sad,fear,surprise,disgust,emoticon,cnt,emoji,name,group,sub_group
woman_health_worker,0.004424778761061947,0.43805309734513276,0.030973451327433628,0.3008849557522124,0.22566371681415928,0.0,woman_health_worker,52,👩‍⚕️,woman health worker,People & Body,person-role
Aquarius,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,Aquarius,2,♒,Aquarius,Symbols,zodiac
man_mechanic_light_skin_tone,0.0,0.5,0.0,0.0,0.5,0.0,man_mechanic_light_skin_tone,2,👨🏻‍🔧,man mechanic: light skin tone,People & Body,person-role
persevering_face,0.1440677966101695,0.33728813559322035,0.16779661016949152,0.2033898305084746,0.09491525423728814,0.05254237288135593,persevering_face,229,😣,persevering face,Smileys & Emotion,face-concerned
man_shrugging_medium_skin_tone,0.06666666666666667,0.26666666666666666,0.2,0.3333333333333333,0.13333333333333333,0.0,man_shrugging_medium_skin_tone,8,🤷🏽‍♂️,man shrugging: medium skin tone,People & Body,person-gesture
swan,0.22580645161290322,0.5806451612903226,0.06451612903225806,0.06451612903225806,0.03225806451612903,0.03225806451612903,swan,1,🦢,swan,Animals & Nature,animal-bird
woman_lifting_weights,0.0,0.0,0.0,0.0,0.0,1.0,woman_lifting_weights,2,🏋️‍♀️,woman lifting weights,People & Body,person-sport
call_me_hand_medium-light_skin_tone,,,,,,,call_me_hand_medium-light_skin_tone,14,🤙🏼,call me hand: medium-light skin tone,People & Body,hand-fingers-partial
writing_hand_dark_skin_tone,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,writing_hand_dark_skin_tone,1,✍🏿,writing hand: dark skin tone,People & Body,hand-prop
waxing_gibbous_moon,0.0,0.0,0.0,0.0,1.0,0.0,waxing_gibbous_moon,1,🌔,waxing gibbous moon,Travel & Places,sky & weather
flexed_biceps_medium-light_skin_tone,,,,,,,flexed_biceps_medium-light_skin_tone,84,💪🏼,flexed biceps: medium-light skin tone,People & Body,body-parts
beating_heart,0.1349862258953168,0.45179063360881544,0.1046831955922865,0.12396694214876033,0.0881542699724518,0.09641873278236915,beating_heart,244,💓,beating heart,Smileys & Emotion,emotion
pig_face,0.21428571428571427,0.2857142857142857,0.21428571428571427,0.14285714285714285,0.07142857142857142,0.07142857142857142,pig_face,8,🐷,pig face,Animals & Nature,animal-mammal
rat,0.0,0.5,0.0,0.0,0.0,0.5,rat,3,🐀,rat,Animals & Nature,animal-mammal
thumbs_up_light_skin_tone,0.15509761388286333,0.4137744034707158,0.09327548806941431,0.1822125813449024,0.10249457700650759,0.05314533622559653,thumbs_up_light_skin_tone,832,👍🏻,thumbs up: light skin tone,People & Body,hand-fingers-closed
Aries,0.0,0.0,0.0,0.0,0.0,1.0,Aries,1,♈,Aries,Symbols,zodiac
cook_medium-light_skin_tone,,,,,,,cook_medium-light_skin_tone,1,🧑🏼‍🍳,cook: medium-light skin tone,People & Body,person-role
squid,0.2,0.2,0.0,0.2,0.2,0.2,squid,3,🦑,squid,Food & Drink,food-marine
man_medium-dark_skin_tone,,,,,,,man_medium-dark_skin_tone,4,👨🏾,man: medium-dark skin tone,People & Body,person
kissing_cat,0.17391304347826086,0.3695652173913043,0.15217391304347827,0.13043478260869565,0.13043478260869565,0.043478260869565216,kissing_cat,21,😽,kissing cat,Smileys & Emotion,cat-face
chess_pawn,0.0,0.5,0.0,0.5,0.0,0.0,chess_pawn,2,♟️,chess pawn,Activities,game
baby_chick,0.0,0.2,0.0,0.6,0.0,0.2,baby_chick,5,🐤,baby chick,Animals & Nature,animal-bird
light_bulb,0.14102564102564102,0.2564102564102564,0.08974358974358974,0.21794871794871795,0.1282051282051282,0.16666666666666666,light_bulb,28,💡,light bulb,Objects,light & video
frog,0.23529411764705882,0.5294117647058824,0.058823529411764705,0.0,0.058823529411764705,0.11764705882352941,frog,6,🐸,frog,Animals & Nature,animal-amphibian
cigarette,0.211864406779661,0.2838983050847458,0.1440677966101695,0.17372881355932204,0.11864406779661017,0.06779661016949153,cigarette,165,🚬,cigarette,Objects,other-object
curry_rice,0.0,0.2,0.0,0.0,0.0,0.8,curry_rice,4,🍛,curry rice,Food & Drink,food-asian
Pisces,0.0,0.0,0.0,0.0,0.0,1.0,Pisces,1,♓,Pisces,Symbols,zodiac
guide_dog,0.0,0.25,0.5,0.0,0.0,0.25,guide_dog,4,🦮,guide dog,Animals & Nature,animal-mammal
