emoticon,cnt
_waving_hand_medium-light_skin_tone_,27
_dagger_,27
_person_raising_hand_light_skin_tone_,27
_pencil_,26
_bow_and_arrow_,26
_OK_hand_medium_skin_tone_,26
_anguished_face_,26
_SOS_button_,26
_bird_,26
_clapping_hands_dark_skin_tone_,26
_dove_,26
_woman_tipping_hand_,26
_raised_back_of_hand_,26
_horse_face_,26
_black_circle_,26
_right-facing_fist_light_skin_tone_,26
_articulated_lorry_,26
_alien_monster_,25
_woman_technologist_,25
_woman_shrugging_medium_skin_tone_,25
_man_zombie_,25
_desktop_computer_,25
_hand_with_fingers_splayed_light_skin_tone_,25
_princess_,25
_open_book_,25
_cloud_with_rain_,24
_syringe_,24
_woman_zombie_,24
_performing_arts_,24
_Japan_,23
_house_with_garden_,23
_snow-capped_mountain_,23
_raised_hand_medium-light_skin_tone_,23
_bathtub_,23
_thumbs_up_dark_skin_tone_,23
_no_entry_,23
_lying_face_,23
_microscope_,23
_no_mobile_phones_,23
_right_arrow_curving_down_,23
_sports_medal_,23
_leafy_green_,23
_sunrise_,23
_deer_,22
_no_one_under_eighteen_,22
_man_light_skin_tone_,22
_wolf_,22
_small_orange_diamond_,22
_bottle_with_popping_cork_,22
_man_facepalming_medium_skin_tone_,22
_coconut_,22
_glass_of_milk_,22
_desert_island_,22
_umbrella_on_ground_,22
_guitar_,21
_baby_angel_,21
_OK_hand_dark_skin_tone_,21
_pill_,21
_person_tipping_hand_,21
_globe_showing_Asia-Australia_,21
_musical_keyboard_,21
_thumbs_down_dark_skin_tone_,21
_kissing_cat_,21
_teddy_bear_,21
_thumbs_down_medium_skin_tone_,21
_man_shrugging_medium-light_skin_tone_,21
_lotion_bottle_,20
_woman_,20
_woman_bowing_,20
_clapping_hands_medium-dark_skin_tone_,20
_backhand_index_pointing_left_medium-light_skin_tone_,20
_coffin_,20
_shooting_star_,20
_doughnut_,20
_pineapple_,20
_man_mage_,20
_hammer_,20
_left-facing_fist_,20
_victory_hand_medium_skin_tone_,20
_right-facing_fist_,19
_pinched_fingers_,19
_thumbs_up_medium-dark_skin_tone_,19
_man_technologist_,19
_kiss_,19
_woman_light_skin_tone_,19
_top_hat_,19
_man_raising_hand_medium-light_skin_tone_,19
_woman_cartwheeling_light_skin_tone_,19
_fork_and_knife_with_plate_,19
_keycap_1_,19
_motorcycle_,19
_boy_light_skin_tone_,19
_studio_microphone_,18
_folded_hands_dark_skin_tone_,18
_raised_back_of_hand_light_skin_tone_,18
_timer_clock_,18
_cucumber_,18
_wind_face_,18
_woman_bowing_light_skin_tone_,18
_microbe_,18
_eggplant_,18
_prayer_beads_,18
_umbrella_,18
