idx,anger,happy,sad,fear,surprise,disgust,emoticon,cnt,emoji,name,group,sub_group
woman_detective_light_skin_tone,0.0,0.0,0.0,1.0,0.0,0.0,woman_detective_light_skin_tone,16,🕵🏻‍♀️,woman detective: light skin tone,People & Body,person-role
skunk,0.0,0.0,0.0,0.2,0.0,0.8,skunk,5,🦨,skunk,Animals & Nature,animal-mammal
man_in_steamy_room_light_skin_tone,,,,,,,man_in_steamy_room_light_skin_tone,1,🧖🏻‍♂️,man in steamy room: light skin tone,People & Body,person-activity
palms_up_together_light_skin_tone,0.0,0.5,0.0,0.5,0.0,0.0,palms_up_together_light_skin_tone,142,🤲🏻,palms up together: light skin tone,People & Body,hands
person_in_tuxedo_medium_skin_tone,,,,,,,person_in_tuxedo_medium_skin_tone,13,🤵🏽,person in tuxedo: medium skin tone,People & Body,person-role
red_question_mark,,,,,,,red_question_mark,589,❓,red question mark,Symbols,punctuation
Santa_Claus_medium_skin_tone,,,,,,,Santa_Claus_medium_skin_tone,81,🎅🏽,Santa Claus: medium skin tone,People & Body,person-fantasy
Tunisia,,,,,,,Tunisia,10,🇹🇳,flag: Tunisia,Flags,country-flag
man_dancing_light_skin_tone,0.0,0.7777777777777778,0.1111111111111111,0.0,0.1111111111111111,0.0,man_dancing_light_skin_tone,117,🕺🏻,man dancing: light skin tone,People & Body,person-activity
deaf_woman_light_skin_tone,,,,,,,deaf_woman_light_skin_tone,6,🧏🏻‍♀️,deaf woman: light skin tone,People & Body,person-gesture
person_with_skullcap,,,,,,,person_with_skullcap,8,👲,person with skullcap,People & Body,person-role
blossom,0.008849557522123894,0.8495575221238938,0.04424778761061947,0.05309734513274336,0.02654867256637168,0.017699115044247787,blossom,364,🌼,blossom,Animals & Nature,plant-flower
shamrock,0.05964467005076142,0.5824873096446701,0.116751269035533,0.07614213197969544,0.09137055837563451,0.07360406091370558,shamrock,2738,☘️,shamrock,Animals & Nature,plant-other
dress,0.04501607717041801,0.6479099678456591,0.08681672025723473,0.10771704180064309,0.05466237942122187,0.05787781350482315,dress,153,👗,dress,Objects,clothing
man_artist,0.0,1.0,0.0,0.0,0.0,0.0,man_artist,5,👨‍🎨,man artist,People & Body,person-role
woman_technologist_medium_skin_tone,0.0,1.0,0.0,0.0,0.0,0.0,woman_technologist_medium_skin_tone,21,👩🏽‍💻,woman technologist: medium skin tone,People & Body,person-role
man_fairy_dark_skin_tone,0.0,1.0,0.0,0.0,0.0,0.0,man_fairy_dark_skin_tone,4,🧚🏿‍♂️,man fairy: dark skin tone,People & Body,person-fantasy
woman_teacher,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,woman_teacher,25,👩‍🏫,woman teacher,People & Body,person-role
woman_farmer_medium_skin_tone,,,,,,,woman_farmer_medium_skin_tone,1,👩🏽‍🌾,woman farmer: medium skin tone,People & Body,person-role
ghost,0.07311028500619579,0.42627013630731103,0.07558859975216853,0.3618339529120198,0.023543990086741014,0.03965303593556382,ghost,2180,👻,ghost,Smileys & Emotion,face-costume
white_exclamation_mark,0.0,0.75,0.08333333333333333,0.16666666666666666,0.0,0.0,white_exclamation_mark,175,❕,white exclamation mark,Symbols,punctuation
olive,0.06382978723404255,0.425531914893617,0.2127659574468085,0.23404255319148937,0.0,0.06382978723404255,olive,2,🫒,olive,Food & Drink,food-fruit
horse_racing_medium-light_skin_tone,,,,,,,horse_racing_medium-light_skin_tone,1,🏇🏼,horse racing: medium-light skin tone,People & Body,person-sport
fairy_light_skin_tone,,,,,,,fairy_light_skin_tone,23,🧚🏻,fairy: light skin tone,People & Body,person-fantasy
woman_police_officer_light_skin_tone,,,,,,,woman_police_officer_light_skin_tone,5,👮🏻‍♀️,woman police officer: light skin tone,People & Body,person-role
house,0.081799591002045,0.3197852760736196,0.1273006134969325,0.2333844580777096,0.07413087934560328,0.16359918200409,house,268,🏠,house,Travel & Places,place-building
Azerbaijan,,,,,,,Azerbaijan,41,🇦🇿,flag: Azerbaijan,Flags,country-flag
breast-feeding_light_skin_tone,,,,,,,breast-feeding_light_skin_tone,4,🤱🏻,breast-feeding: light skin tone,People & Body,person-role
check_mark_button,,,,,,,check_mark_button,2169,✅,check mark button,Symbols,other-symbol
man_raising_hand,0.0,1.0,0.0,0.0,0.0,0.0,man_raising_hand,7435,🙋‍♂️,man raising hand,People & Body,person-gesture
Congo_-_Kinshasa,,,,,,,Congo_-_Kinshasa,5,🇨🇩,flag: Congo - Kinshasa,Flags,country-flag
TOP_arrow,,,,,,,TOP_arrow,155,🔝,TOP arrow,Symbols,arrow
woman_farmer_light_skin_tone,0.0,1.0,0.0,0.0,0.0,0.0,woman_farmer_light_skin_tone,3,👩🏻‍🌾,woman farmer: light skin tone,People & Body,person-role
man_singer_dark_skin_tone,0.0,1.0,0.0,0.0,0.0,0.0,man_singer_dark_skin_tone,1,👨🏿‍🎤,man singer: dark skin tone,People & Body,person-role
woman_astronaut_light_skin_tone,,,,,,,woman_astronaut_light_skin_tone,3,👩🏻‍🚀,woman astronaut: light skin tone,People & Body,person-role
woman_astronaut_medium-light_skin_tone,,,,,,,woman_astronaut_medium-light_skin_tone,5,👩🏼‍🚀,woman astronaut: medium-light skin tone,People & Body,person-role
family_man_man_boy_boy,,,,,,,family_man_man_boy_boy,2,👨‍👨‍👦‍👦,"family: man, man, boy, boy",People & Body,family
woman_rowing_boat_light_skin_tone,,,,,,,woman_rowing_boat_light_skin_tone,2,🚣🏻‍♀️,woman rowing boat: light skin tone,People & Body,person-sport
Capricorn,,,,,,,Capricorn,7,♑,Capricorn,Symbols,zodiac
woman_pouting_medium_skin_tone,,,,,,,woman_pouting_medium_skin_tone,4,🙎🏽‍♀️,woman pouting: medium skin tone,People & Body,person-gesture
