idx,anger,happy,sad,fear,surprise,disgust
boy_medium-dark_skin_tone,,,,,,
crayon,0.07692307692307693,0.5384615384615384,0.0,0.07692307692307693,0.23076923076923078,0.07692307692307693
Jamaica,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0
double_curly_loop,0.0,0.0,0.0,0.0,0.0,1.0
man_dark_skin_tone,1.0,0.0,0.0,0.0,0.0,0.0
bank,0.3119005328596803,0.3275310834813499,0.08561278863232683,0.07744227353463588,0.12682060390763766,0.07069271758436944
non-potable_water,,,,,,
Tokyo_tower,0.0,0.0,0.2,0.0,0.6,0.2
Netherlands,0.1111111111111111,0.7777777777777778,0.0,0.0,0.0,0.1111111111111111
hamster,0.125,0.125,0.0,0.5,0.125,0.125
nine-thirty,,,,,,
dollar_banknote,0.23809523809523808,0.30952380952380953,0.14285714285714285,0.15476190476190477,0.11904761904761904,0.03571428571428571
vampire_medium-light_skin_tone,,,,,,
Japanese_discount_button,0.0,0.0,0.0,0.0,0.0,1.0
eight-pointed_star,,,,,,
smiling_face,0.18872839213829032,0.428368458441866,0.0935354013734312,0.11555766043097324,0.12147762254321573,0.052332465072223534
woman_cartwheeling_light_skin_tone,0.11428571428571428,0.22857142857142856,0.11428571428571428,0.17142857142857143,0.3142857142857143,0.05714285714285714
raised_fist_light_skin_tone,0.3333333333333333,0.3333333333333333,0.13333333333333333,0.2,0.0,0.0
man_playing_handball_light_skin_tone,0.0,0.0,0.0,0.0,1.0,0.0
transgender_symbol,0.2,0.5,0.1,0.2,0.0,0.0
clapping_hands_medium-dark_skin_tone,,,,,,
wheelchair_symbol,0.1111111111111111,0.16666666666666666,0.16666666666666666,0.2777777777777778,0.1111111111111111,0.16666666666666666
next_track_button,0.0,0.0,0.0,0.0,0.0,1.0
man_medium_skin_tone,0.75,0.0,0.25,0.0,0.0,0.0
hospital,0.2,0.2,0.1,0.1,0.3,0.1
Japanese_post_office,0.0,0.0,0.0,0.0,0.0,1.0
parachute,0.25,0.375,0.25,0.0,0.125,0.0
woman_scientist_medium_skin_tone,,,,,,
tired_face,0.1514476614699332,0.36525612472160357,0.12249443207126949,0.1915367483296214,0.11804008908685969,0.051224944320712694
euro_banknote,0.1527777777777778,0.1527777777777778,0.013888888888888888,0.05555555555555555,0.5972222222222222,0.027777777777777776
person_tipping_hand,0.15384615384615385,0.3333333333333333,0.20512820512820512,0.10256410256410256,0.15384615384615385,0.05128205128205128
station,0.17582417582417584,0.4065934065934066,0.10989010989010989,0.054945054945054944,0.21978021978021978,0.03296703296703297
angry_face_with_horns,0.2948717948717949,0.19230769230769232,0.05128205128205128,0.23076923076923078,0.14102564102564102,0.08974358974358974
woman_office_worker,0.36363636363636365,0.18181818181818182,0.030303030303030304,0.030303030303030304,0.24242424242424243,0.15151515151515152
women_with_bunny_ears,0.19047619047619047,0.40476190476190477,0.047619047619047616,0.09523809523809523,0.19047619047619047,0.07142857142857142
tulip,0.10919540229885058,0.4425287356321839,0.10919540229885058,0.08045977011494253,0.11494252873563218,0.14367816091954022
woman_bowing,0.20588235294117646,0.38235294117647056,0.058823529411764705,0.08823529411764706,0.058823529411764705,0.20588235294117646
round_pushpin,0.14814814814814814,0.4444444444444444,0.12345679012345678,0.1111111111111111,0.1111111111111111,0.06172839506172839
smiling_face_with_heart-eyes,,,,,,
t-shirt,,,,,,
woman_playing_handball_medium-light_skin_tone,,,,,,
seedling,0.12624584717607973,0.45182724252491696,0.07641196013289037,0.11295681063122924,0.12292358803986711,0.10963455149501661
person_with_veil_medium_skin_tone,0.0,0.0,1.0,0.0,0.0,0.0
pouting_cat,0.2727272727272727,0.22727272727272727,0.045454545454545456,0.18181818181818182,0.09090909090909091,0.18181818181818182
person_frowning,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.0
person_running_medium-light_skin_tone,,,,,,
thumbs_down_dark_skin_tone,0.21153846153846154,0.5192307692307693,0.0,0.1346153846153846,0.1346153846153846,0.0
test_tube,0.19230769230769232,0.5769230769230769,0.0,0.038461538461538464,0.07692307692307693,0.11538461538461539
magnifying_glass_tilted_left,0.16346153846153846,0.3557692307692308,0.14423076923076922,0.1346153846153846,0.1346153846153846,0.0673076923076923
teddy_bear,0.11904761904761904,0.35714285714285715,0.16666666666666666,0.21428571428571427,0.09523809523809523,0.047619047619047616
raising_hands_medium_skin_tone,0.2857142857142857,0.42857142857142855,0.0,0.0,0.2857142857142857,0.0
person_blond_hair,0.23076923076923078,0.46153846153846156,0.23076923076923078,0.0,0.07692307692307693,0.0
oncoming_bus,0.0,0.25,0.0,0.0,0.0,0.75
man_raising_hand_medium_skin_tone,0.2,0.3,0.05,0.2,0.2,0.05
Malta,0.0,0.0,0.0,0.0,1.0,0.0
cow,0.0,0.25,0.5,0.0,0.0,0.25
ice_hockey,0.0,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857
man_cartwheeling,0.0,0.875,0.0,0.0,0.0,0.125
